# Abbrev	DST?	Zone Name
# GMT		Africa/Abidjan
# GMT		Africa/Accra
# EAT		Africa/Addis_Ababa
# CET		Africa/Algiers
# EAT		Africa/Asmara
# GMT		Africa/Bamako
# WAT		Africa/Bangui
# GMT		Africa/Banjul
# GMT		Africa/Bissau
# CAT		Africa/Blantyre
# WAT		Africa/Brazzaville
# CAT		Africa/Bujumbura
# EEST	1	Africa/Cairo
# EET		Africa/Cairo
# CEST	1	Africa/Ceuta
# CET		Africa/Ceuta
# GMT		Africa/Conakry
# GMT		Africa/Dakar
# EAT		Africa/Dar_es_Salaam
# EAT		Africa/Djibouti
# WAT		Africa/Douala
# GMT		Africa/Freetown
# CAT		Africa/Gaborone
# CAT		Africa/Harare
SAST		Africa/Johannesburg
# CAT		Africa/Juba
# EAT		Africa/Kampala
# CAT		Africa/Khartoum
# CAT		Africa/Kigali
# WAT		Africa/Kinshasa
WAT		Africa/Lagos
# WAT		Africa/Libreville
# GMT		Africa/Lome
# WAT		Africa/Luanda
# CAT		Africa/Lubumbashi
CAT		Africa/Lusaka
# WAT		Africa/Malabo
# CAT		Africa/Maputo
# SAST		Africa/Maseru
# SAST		Africa/Mbabane
# EAT		Africa/Mogadishu
# GMT		Africa/Monrovia
EAT		Africa/Nairobi
# WAT		Africa/Ndjamena
# WAT		Africa/Niamey
# GMT		Africa/Nouakchott
# GMT		Africa/Ouagadougou
# WAT		Africa/Porto-Novo
# GMT		Africa/Sao_Tome
# EET		Africa/Tripoli
# CET		Africa/Tunis
# CAT		Africa/Windhoek
HDT	1	America/Adak
HST		America/Adak
AKDT	1	America/Anchorage
AKST		America/Anchorage
# AST		America/Anguilla
# AST		America/Antigua
# AST		America/Aruba
# EST		America/Atikokan
# CST		America/Bahia_Banderas
# AST		America/Barbados
# CST		America/Belize
# AST		America/Blanc-Sablon
# MDT	1	America/Boise
# MST		America/Boise
# MDT	1	America/Cambridge_Bay
# MST		America/Cambridge_Bay
# EST		America/Cancun
# EST		America/Cayman
CDT	1	America/Chicago
CST		America/Chicago
# CST		America/Chihuahua
# MDT	1	America/Ciudad_Juarez
# MST		America/Ciudad_Juarez
# CST		America/Costa_Rica
# MST		America/Creston
# AST		America/Curacao
# GMT		America/Danmarkshavn
# MST		America/Dawson
# MST		America/Dawson_Creek
MDT	1	America/Denver
MST		America/Denver
